title,currency,raw_price,usd_price,listing_url,image_url,fair_value,discount_pct,grade,sources,pricecharting_link,confidence,matched_card,search_term_used
2021 #101 Full Art/Umbreon Vmax PSA 10 Japanese Sword & Shield Vmax Climax Pokemon,SOL,57.0,4674.57,https://collectorcrypt.com/assets/solana/6PcTRQStBq55WfKDkDFeGApc7ySuXd9DH3zQpEfTdtju,https://d1xpxki1g4htqu.cloudfront.net/3EDQTCjYiznfMBny0V22rOBfPst97LRL-EBmfIXBbmQ,7.39,-63155.3,PSA 10,['PriceCharting'],https://www.pricecharting.com/game/pokemon-japanese-vmax-climax/umbreon-vmax-101,0.95,Umbreon VMAX #101Pokemon Japanese VMAX Climax,vmax umbreon #101
2021 #101 Full Art/Umbreon Vmax PSA 10 Japanese Sword & Shield Vmax Climax Pokemon,SOL,54.0,4428.54,https://collectorcrypt.com/assets/solana/3iatyWqA6z1inqDhYgQse9kwHBUawgQdXZFrXnmTbVSv,https://d1xpxki1g4htqu.cloudfront.net/eB-b9-7oWt_7JG7jLyh0m622DW8Nj1WlucYjjmP3rCg,7.39,-59826.1,PSA 10,['PriceCharting'],https://www.pricecharting.com/game/pokemon-japanese-vmax-climax/umbreon-vmax-101,0.95,Umbreon VMAX #101Pokemon Japanese VMAX Climax,vmax umbreon #101
2025 #078 Mega Gardevoir EX PSA 10 Japanese M1s-Mega Symphonia Pokemon,SOL,1.0,82.01,https://collectorcrypt.com/assets/solana/97wYDbCTxVhA3GHn1wgshxv6w4Jg54a8gx4GWKPLYNQ4,https://d1xpxki1g4htqu.cloudfront.net/-T2CTEATAXd8LW9JTmJNUcJXVDIZ_HrWCLVIuo-fWaw,6.19,-1224.9,PSA 10,['PriceCharting'],https://www.pricecharting.com/game/pokemon-japanese-mega-symphonia/mega-gardevoir-ex-78,0.95,Mega Gardevoir Ex #78Pokemon Japanese Mega Symphonia,ex gardevoir #78
2015 #006 M Rayquaza EX PSA 8 Korean M Rayquaza EX Battle Deck Pokemon,SOL,50.0,4100.5,https://collectorcrypt.com/assets/solana/FvRELwhQFrj9Sn6k41m4hLPRC2eHPXjkH4uQ5GSF6Bpw,https://d1xpxki1g4htqu.cloudfront.net/cIsw1iyPHfJiVI2F2h5eeew_61SZ-T0A6DrCyg83wUo,34.28,-11861.8,PSA 8,['PriceCharting'],https://www.pricecharting.com/game/pokemon-japanese-rayquaza-ex-mega-battle-deck/m-rayquaza-ex-6,0.95,M Rayquaza EX #6Pokemon Japanese Rayquaza-EX Mega Battle Deck,ex rayquaza #6
2025 #126 Mega Dragonite ex CGC 10 Pristine Mega Dream ex - M2a - Japanese Pokemon,SOL,2.0,164.02,https://collectorcrypt.com/assets/solana/jySGBpQB7N8AZTzcS4LXvDmVNde2JGLCiw78xzd1nn5,https://d1xpxki1g4htqu.cloudfront.net/4l3QVolKbtfj4u89O86gYZk7oTlMsDW6Dx1qjpxqtkI,1.65,-9840.6,CGC 10,['PriceCharting'],https://www.pricecharting.com/game/pokemon-japanese-mega-dream-ex/mega-dragonite-ex-126,0.95,Mega Dragonite ex #126Pokemon Japanese Mega Dream ex,ex dragonite #126
2025 #126 Mega Dragonite ex CGC 10 Pristine Mega Dream ex - M2a - Japanese Pokemon,SOL,1.0,82.01,https://collectorcrypt.com/assets/solana/98xrfvtXcm3bE8SPDUiGweKQGzkXP9UWHqGDPeSaVyhm,https://d1xpxki1g4htqu.cloudfront.net/5bcDyelcEN4YPmIbibrEekYLDJUPjnELto4lkpxtB-M,1.65,-4870.3,CGC 10,['PriceCharting'],https://www.pricecharting.com/game/pokemon-japanese-mega-dream-ex/mega-dragonite-ex-126,0.95,Mega Dragonite ex #126Pokemon Japanese Mega Dream ex,ex dragonite #126
2025 #226 Mega Gardevoir ex CGC 10 Mega Dream ex - M2a - Japanese Pokemon,SOL,1.0,82.01,https://collectorcrypt.com/assets/solana/BiEhL8uw9yW9g6opxoy4TEeAMet9TPrLYExAUqBofkeX,https://d1xpxki1g4htqu.cloudfront.net/12mHtR1IrNyM0zK2rs5vG1fHZMu4DN20NOzDUHcIeEc,7.46,-999.3,CGC 10,['PriceCharting'],https://www.pricecharting.com/game/pokemon-japanese-mega-dream-ex/mega-gardevoir-ex-226,0.95,Mega Gardevoir ex #226Pokemon Japanese Mega Dream ex,ex gardevoir #226
2025 #126 Mega Dragonite ex CGC 10 Mega Dream ex - M2a - Japanese Pokemon,SOL,0.5,41.01,https://collectorcrypt.com/assets/solana/2ZiPUrk8477MN4MmkCU5yJqv4yGYsfTkmJDS8ZsRYDPR,https://d1xpxki1g4htqu.cloudfront.net/lSuUOWQL2jhW4lZfy99kRwAbIwtVgy58hA4IB8nRj5s,1.65,-2385.5,CGC 10,['PriceCharting'],https://www.pricecharting.com/game/pokemon-japanese-mega-dream-ex/mega-dragonite-ex-126,0.95,Mega Dragonite ex #126Pokemon Japanese Mega Dream ex,ex dragonite #126
2012 #18 Charmander-Reverse Foil PSA 8 Black & White Boundaries Crossed Pokemon,SOL,1.16,95.13,https://collectorcrypt.com/assets/solana/8jQJ3VpjXeqAP9zM8hFRxqAtRSCjWm9buFbieeQmD1Kp,https://d1xpxki1g4htqu.cloudfront.net/T9Xt_JpueEY-E353kOo9gwjSIYBD_6jKkWM7WWubITg,16.49,-476.9,PSA 8,['PriceCharting'],https://www.pricecharting.com/game/pokemon-boundaries-crossed/charmander-reverse-holo-18,0.95,Charmander [Reverse Holo] #18Pokemon Boundaries Crossed,v charmander #18
2021 #057 Gengar-Holo PSA 7 Sword & Shield Chilling Reign Pokemon,SOL,0.5,41.01,https://collectorcrypt.com/assets/solana/79ZMnsWLc7NTrg4BxHANBFFADffHzayfkgm3Ax3kKWEZ,https://d1xpxki1g4htqu.cloudfront.net/wKVNeEzEOTPmSfq2gzpVtL6f5UpKgizsYKjGw4PGSqM,3.99,-927.8,PSA 7,['PriceCharting'],https://www.pricecharting.com/game/pokemon-chilling-reign/gengar-reverse-holo-57,0.95,Gengar [Reverse Holo] #57Pokemon Chilling Reign,holo gengar #57
2000 #14 Mewtwo CGC 7 Promo Black Star Pokemon,SOL,1.0,82.01,https://collectorcrypt.com/assets/solana/FCRFkqrkWsEH2Q8pvSo21RRFTbxMRAum9KSWEFxWgCPv,https://d1xpxki1g4htqu.cloudfront.net/yK_rw0Y3hgDHV3Houi_SZbETnK8XlkO4dHy_Hs39aTs,10.51,-680.3,CGC 7,['PriceCharting'],https://www.pricecharting.com/game/pokemon-promo/mewtwo-14,0.95,Mewtwo #14Pokemon Promo,mewtwo #14
2007 #102 Vaporeon-Holo Gold Star BGS 7.5 EX Power Keepers Pokemon,SOL,1800.0,147618.0,https://collectorcrypt.com/assets/solana/J1xEspyba8fhjQQ8PwWwyZActKV82ka9JdeVcnVW6VNa,https://d1xpxki1g4htqu.cloudfront.net/DNMHx86hTaXDCuJ0v2nvyOxAJRzdYrPpTnj5xd20ljk,767.92,-19123.1,BGS 7.5,['PriceCharting'],https://www.pricecharting.com/game/pokemon-power-keepers/vaporeon-gold-star-102,0.95,Vaporeon [Gold Star] #102Pokemon Power Keepers,ex vaporeon #102
